transaction_id,status,mindshare_category,note
NawbpKo1jLC46NAAv5Eqcpk9Xbk4N6U36XAVd,included,manual-mindshare,set by merchant in web review
J0E8pqXwkmILQm335yR8UM6ODBjrK7Hm7xLy7,included,manual-mindshare,set by merchant in web review
4aKdX8VzOrCbBp88LKVQhwoY9vgqy4CRnZL4d,included,manual-mindshare,set by merchant in web review
rMw9by1ZDJuQ7YrrK8k6fxp9EnjkNBHVwn9DY,included,manual-mindshare,set by merchant in web review
aExkOV5yKJiZy0MMYQ3Jcwv01LkZQ7C71zDNB,included,manual-mindshare,set by merchant in web review
BqovXnp1DKTqNXww6KemUvn95YRmy7U37OD0P,included,manual-mindshare,set by merchant in web review
KBznOOqRKVCL0dQMQ6VOUEXwbMJw4eiyOypDM,excluded,manual-personal,set by merchant in web review
aExkOV5yKJiZy0MMYQ3JcwvE61JNMRC4ADQ8X,excluded,manual-personal,set by merchant in web review
Ey7rp6oYqvfxXnDDkQRgsRPNqaLjAnHQnNADP,excluded,manual-personal,set by merchant in web review
NawbpKo1jLC46NAAv5EqcpkPyxANartoL8XD4,excluded,manual-personal,set by merchant in web review
YEkDe8QbLviZBJ55Lmw1c67NVjkObAHJqEaXA,excluded,manual-personal,set by merchant in web review
34yMXJV9omH8eXJJ3ykNUgKAqYoL6DHoAOvg0,excluded,manual-personal,set by merchant in web review
nnEoNPwZdbUymQrrR6joHoQxq4zwKAfBpVxg0,excluded,manual-personal,set by merchant in web review
L3zp00BQnOiERwLkLdPxUyPAJeYAawTJ5JpEQ,excluded,manual-personal,set by merchant in web review
ryvnxxkwBOfnd9QRQ8jmHxEZXrMZ8ACrorv1B,excluded,manual-personal,set by merchant in web review
48pAjjmKgqtvm0bXbKZaUw9ELKOEXDHDaDXdR,excluded,manual-personal,set by merchant in web review
JqzQbbPEZ9FxBbLALyDOIM69wgmdBLimb0OdE,excluded,manual-personal,set by merchant in web review
8mprRR80zKt4Kp5b5wxBFjJD9BP87wCxyYL4Q,excluded,manual-personal,set by merchant in web review
ZZzkee8ArqtvYe050qxbUynAZOXmN0sbR8AaP,excluded,manual-personal,set by merchant in web review
z481vvx3gwt3k98d8r5YIpRPJaNAokFvOMxDy,excluded,manual-personal,set by merchant in web review
m13OaaqMmbtvnz3j3AKwUZNaj1kAJnCBM8Onw,excluded,manual-personal,set by merchant in web review
yrJD33aBVdfBk6J8JpZYCE0J8e5amkspOR6B3,excluded,manual-personal,set by merchant in web review
KBznOOqRKVCL0dQMQ6VOUEo8RgOD01sEQykoL,excluded,manual-personal,set by merchant in web review
aVza119xQvfqanZgZQVPFwvMeOXELgh7ZKdOe,excluded,manual-personal,set by merchant in web review
eRwZggE5o4txg6wEw3LyIEmxN8Jrygsnd4V3Z,excluded,manual-personal,set by merchant in web review
Y8zK99JkAmt3drZeZmaMI67qaeBpjZfJQzVM5,excluded,manual-personal,set by merchant in web review
M4dmpyED06Hw0ekk194jF3kbQRkX4KiPKNJ80,excluded,manual-personal,set by merchant in web review
Q8D9pvoMaPfmeEjj03VxHvXk5KXm3PtJxK7Nw,excluded,manual-personal,set by merchant in web review
mEM5N1dXZoi3XMyygANYtZNxjONn7VFN10pVy,excluded,manual-personal,set by merchant in web review
nnEoNPwZdbUymQrrR6joHoQYZ7Qvw8C7kxErq,excluded,manual-personal,set by merchant in web review
aExkOV5yKJiZy0MMYQ3Jcwv01LkZQ7C71zDM7,excluded,manual-personal,set by merchant in web review
J0E8pqXwkmILQm335yR8UM6ODBjrK7Hm7xLN4,excluded,manual-personal,set by merchant in web review
YEkDe8QbLviZBJ55Lmw1c67da37ZOMF9Mam0g,excluded,manual-personal,set by merchant in web review
dpZ0OE5qvRfQXzoodAm5f0XVZ7Xg9vHDaqZdk,included,manual-mindshare,set by merchant in web review
nnEoNPwZdbUymQrrR6joHoQYZ7Qvw8C7kxEDq,included,manual-mindshare,set by merchant in web review
Q8D9pvoMaPfmeEjj03VxHvXk5KXm3PtJxK7Xw,included,manual-mindshare,set by merchant in web review
YEkDe8QbLviZBJ55Lmw1c67da37ZOMF9Mamyg,included,manual-mindshare,set by merchant in web review
ZEA1OZ5bD0i0NVoo6qzJcynepNqDdKTbkrZmz,included,manual-mindshare,set by merchant in web review
nnEoNPwZdbUymQrrR6joHoQxq4zwKAfBpVxZL,included,manual-mindshare,set by merchant in web review
pMQgbBLO6JuQO7AAmJnkfPyX60951JF34mdoB,included,manual-mindshare,set by merchant in web review
M4dmpyED06Hw0ekk194jF3kgY8E4qpfXpwNro,included,manual-mindshare,set by merchant in web review
ZZzkee8ArqtvYe050qxbUypa1VJa6ET8e80p9,excluded,manual-personal,set by merchant in web review
pBkR00yQX9C6xqQoQJvDIP6RLKMRDaFApAq1E,included,manual-mindshare,set by merchant in web review
jE9JO65LxbiPOQLLgqnNiKokd9oBa7h3nzp9o,included,manual-mindshare,set by merchant in web review
XJzyBBxKk1Ck4Raga1eDtBeRL09R5wHzYzRw9,excluded,manual-personal,set by merchant in web review
5Zpv55akgBt0pErzrk8ac4QL67vLz1UNrNq5V,excluded,manual-personal,set by merchant in web review
bOzx11VJP0ujPQe3e4dKCEb6wgQ6AXiPkPpKr,excluded,manual-personal,set by merchant in web review
JqzQbbPEZ9FxBbLALyDOIM69wgmdBLimb0O4E,excluded,manual-personal,set by merchant in web review
R0zD66v13pI8xeyJyjVKTaQmABX7xkhey9zZN,excluded,manual-personal,set by merchant in web review
NKzdrrywZEfJLO4945B1fpyMVLqMv7UymyVJB,excluded,manual-personal,set by merchant in web review
eRwZggE5o4txg6wEw3LyIEvwqkDw4bi404pJ6,excluded,manual-personal,set by merchant in web review
VE3wpa5bmKiDQNJJgLK1F0Y6M87pEvIkMpyNA,excluded,manual-personal,set by merchant in web review
wMPwb0yx3DuaYVvvArwxUmjBd7jJ5DUrBEAVw,excluded,manual-personal,set by merchant in web review
1jBVXaE9ovf54OaajBkLf0YgPQYyAZHAxVkP3,excluded,manual-personal,set by merchant in web review
D3gjpwoKPAFbj9LLnARMhZoEDdoXjJFgKNk5n,excluded,manual-personal,set by merchant in web review
xMq6bjKVy1ux4r11k76BsNJ3j9JbV5tob6EdP,excluded,manual-personal,set by merchant in web review
qMd7b3DZLJuQBr11Z8k9fwkELjBgQJCDEAjd6,excluded,manual-personal,set by merchant in web review
kEV8OLXDJZiqAV00ojMQUO1KgLAykRsovKP5L,excluded,manual-personal,set by merchant in web review
ep5jORzB0Jfw4VXX53p0FEmYvyVj9dInbNDOq,excluded,manual-personal,set by merchant in web review
00q9X4exzAI6eX44Yqa5ugXY9R7J06HAvD7wE,excluded,manual-personal,set by merchant in web review
Ox6gpkoMrDtax9vvy4X0UPp6jEeLmgFxg9Avr,excluded,manual-personal,set by merchant in web review
Q8D9pvoMaPfmeEjj03VxHvX8Voj3x4UO4PKqq,excluded,manual-personal,set by merchant in web review
aExkOV5yKJiZy0MMYQ3Jcwv01LkZQ7C71zDgB,excluded,manual-personal,set by merchant in web review
pMQgbBLO6JuQO7AAmJnkfPywoQyx5AFawdKqa,included,manual-mindshare,set by merchant in web review
6JA6X5V9oaCe6855gnkrCEpdzRpxYKsYXe78o,excluded,manual-personal,set by merchant in web review
RZ1VX0oMxqIyQNrrnj9bHaQPVxvgJqseqgk77,excluded,manual-personal,set by merchant in web review
xMq6bjKVy1ux4r11k76BsNJ6EZAVPMHOKV64x,excluded,manual-personal,set by merchant in web review
LrQ5N3oLvwHLb8KKadXzUyx37OxLDKF8XLzqj,included,manual-mindshare,set by merchant in web review
1apyZZ0BxDuK8M5w5BNpI0EpxOdpwaHY5YXa7,excluded,manual-personal,set by merchant in web review
R0zD66v13pI8xeyJyjVKTaVrL4brn9u9X9NQr,excluded,manual-personal,set by merchant in web review
8mprRR80zKt4Kp5b5wxBFj3VqOzVbgUYoYdjm,excluded,manual-personal,set by merchant in web review
8mprRR80zKt4Kp5b5wxBFjJD9BP87wCxyYLqQ,excluded,manual-personal,set by merchant in web review
kLq9vv1Vo5f6B9qvqj3nIOgo93ZobVUbkbqak,excluded,manual-personal,set by merchant in web review
dEd8AAMZortDgwQ0QA63f0P6ay46kwHoAoB3d,excluded,manual-personal,set by merchant in web review
95j1XgOno6fvE7ggZ6XecYmbRkmwyNFy9MOAX,excluded,manual-personal,set by merchant in web review
nPyMRRBEqgINvzyZy6kAIoqga0egj6fj1jDnd,excluded,manual-personal,set by merchant in web review
NKzdrrywZEfJLO4945B1fpk0XgmDx4FoRyP76,excluded,manual-personal,set by merchant in web review
Okzw55K67RUAEMaqa43LFPp3KJQ1EaHx8pkOk,excluded,manual-personal,set by merchant in web review
Ox6gpkoMrDtax9vvy4X0UPpqKRpaLOF4OAnwx,excluded,manual-personal,set by merchant in web review
JqzQbbPEZ9FxBbLALyDOIMDnQ8yn5es0K0YEX,excluded,manual-personal,set by merchant in web review
RZ1VX0oMxqIyQNrrnj9bHaQ0ANQkgZH1ZkLO4,excluded,manual-personal,set by merchant in web review
4aKdX8VzOrCbBp88LKVQhwoY9vgqy4CRnZLpk,excluded,manual-personal,set by merchant in web review
Ey7rp6oYqvfxXnDDkQRgsRPJBwP8jMFEoA9gn,excluded,manual-personal,set by merchant in web review
VazByy43PLu5VnDoDLjAt08bwX1bgOHnPnREL,excluded,manual-personal,set by merchant in web review
65p0zzxAQ3fjAzeoenRxCEp5zk46qxswaA5z4,excluded,manual-personal,set by merchant in web review
m13OaaqMmbtvnz3j3AKwUZNaj1kAJnCBM8O1w,excluded,manual-personal,set by merchant in web review
PJL7pAoM41Ca1N00b9mdUPRjBORavqFJqyz90,excluded,manual-personal,set by merchant in web review
34yMXJV9omH8eXJJ3ykNUgK9eQKVLkhLqvN1N,included,manual-mindshare,set by merchant in web review
m13OaaqMmbtvnz3j3AKwUZrDE3pD8PF8a8XDx,excluded,manual-personal,set by merchant in web review
Okzw55K67RUAEMaqa43LFPjwdV0wy5FpQpwbX,excluded,manual-personal,set by merchant in web review
Y8zK99JkAmt3drZeZmaMI6VEDw1ELYtzLzyxa,excluded,manual-personal,set by merchant in web review
9gp4KKZjEkTa4nvMv6A5UYmJRd3nvwugd67ZO,excluded,manual-personal,set by merchant in web review
dEd8AAMZortDgwQ0QA63f0XDZ83jzgFKbor6z,excluded,manual-personal,set by merchant in web review
ryvnxxkwBOfnd9QRQ8jmHxpDRyw0ndHVBryL7,excluded,manual-personal,set by merchant in web review
VazByy43PLu5VnDoDLjAt0YEaJm6VDF4rnqop,excluded,manual-personal,set by merchant in web review
z481vvx3gwt3k98d8r5YIpRPJaNAokFvOMxby,excluded,manual-personal,set by merchant in web review
gnLoggwbKxH8kjLbLd19TajQMvORdkh8q67YN,excluded,manual-personal,set by merchant in web review
oYRbNm6owJiKzrvv0Ox3fdkbqJkLVgIOEzvwR,included,manual-mindshare,set by merchant in web review
4aKdX8VzOrCbBp88LKVQhwoY9vgqy4CRnZL9d,included,manual-mindshare,set by merchant in web review
YEkDe8QbLviZBJ55Lmw1c67NVjkObAHJqEa5d,included,manual-mindshare,set by merchant in web review
MyzXrr3djMfB86wbw9NPC3YB6MjB1DF0v0899,excluded,manual-personal,set by merchant in web review
E6zV11w7Q5UYaExJxQMrFRqoeKZokmtdOd3kk,excluded,manual-personal,set by merchant in web review
Dwz9nndgDZsO4qbEbA3BHZoqD7eV4XCwZX1Lo,excluded,manual-personal,set by merchant in web review
1apyZZ0BxDuK8M5w5BNpI0YnPqe9DyFnmYK7b,excluded,manual-personal,set by merchant in web review
3JpkxxryzPCAMz8a8yZpFgK3enRxYVfoKP8gA,excluded,manual-personal,set by merchant in web review
AQzbppO59xUmBk6z6XVrIJVYbPwrBoHM6wo4j,excluded,manual-personal,set by merchant in web review
j6P7vvD9aZUpRzPdPqejHKo8dp6QyBueRv47b,excluded,manual-personal,set by merchant in web review
xjxLJJ4qZpfqbaxPx78YFNJvj4BaZbCOMmDxY,excluded,manual-personal,set by merchant in web review
5Zpv55akgBt0pErzrk8ac48PoK3MxXIwBNXnO,excluded,manual-personal,set by merchant in web review
9gp4KKZjEkTa4nvMv6A5UYmJRd3nvwugd679O,excluded,manual-personal,set by merchant in web review
PJL7pAoM41Ca1N00b9mdUPRkVprv0AFoAby9N,included,manual-mindshare,set by merchant in web review
yMBLbrkAKPuJgz114pL5FE0z9mZbQOIpgJzQd,included,manual-mindshare,set by merchant in web review
Jderor7mOxiZLvB5X9v7IMPmV4vRNOU01P100,included,manual-mindshare,set by merchant in web review
RZ1VX0oMxqIyQNrrnj9bHaQPVxvgJqseqgkm7,included,manual-mindshare,set by merchant in web review
bm39N9rnKXs5eNPAqmNVIEVR7M4jeKCPMRMP9,included,manual-mindshare,set by merchant in web review
ep5jORzB0Jfw4VXX53p0FEmYvyVj9dInbND3q,included,manual-mindshare,set by merchant in web review
VkeONORKA9T6DeVgbmerf09mnyLqpPtnyvyn8,included,manual-mindshare,set by merchant in web review
gnLoggwbKxH8kjLbLd19TajQMvORdkh8q67Pb,excluded,manual-personal,set by merchant in web review
vv4wmmj1ZQf1L7QgQrxAf5wYgQOnKLuVmpRez,excluded,manual-personal,set by merchant in web review
9gp4KKZjEkTa4nvMv6A5UYmJRd3nvwugd67E4,excluded,manual-personal,set by merchant in web review
kLq9vv1Vo5f6B9qvqj3nIO16v8wnLBhoRbgeD,excluded,manual-personal,set by merchant in web review
VazByy43PLu5VnDoDLjAt0YEaJm6VDF4rnqMp,excluded,manual-personal,set by merchant in web review
dEd8AAMZortDgwQ0QA63f0XDZ83jzgFKboraz,excluded,manual-personal,set by merchant in web review
00q9X4exzAI6eX44Yqa5ugXY9R7J06HAvD7pk,excluded,manual-personal,set by merchant in web review
jE9JO65LxbiPOQLLgqnNiKoEMywaxDiejbzxV,excluded,manual-personal,set by merchant in web review
zM3Db4AZkqu8e4bbLrDNUpRYDo3geOtvn5mD7,excluded,manual-personal,set by merchant in web review
Okzw55K67RUAEMaqa43LFPp3KJQ1EaHx8pkE9,excluded,manual-personal,set by merchant in web review
L3zp00BQnOiERwLkLdPxUyxz795gRLsZ0JwXv,excluded,manual-personal,set by merchant in web review
rMw9by1ZDJuQ7YrrK8k6fxp9EnjkNBHVwn9XZ,excluded,manual-personal,set by merchant in web review
J0E8pqXwkmILQm335yR8UM6ODBjrK7Hm7xL84,excluded,manual-personal,set by merchant in web review
xMq6bjKVy1ux4r11k76BsNJ6EZAVPMHOKV6dm,excluded,manual-personal,set by merchant in web review
xjxLJJ4qZpfqbaxPx78YFNJvj4BaZbCOMmDXY,excluded,manual-personal,set by merchant in web review
JqzQbbPEZ9FxBbLALyDOIM69wgmdBLimb0ODE,excluded,manual-personal,set by merchant in web review
gnLoggwbKxH8kjLbLd19TajQMvORdkh8q67kN,excluded,manual-personal,set by merchant in web review
7oejNNJvEySroPKYKdmqhy9NJ8kzm5s0Q8PJK,excluded,manual-personal,set by merchant in web review
dpZ0OE5qvRfQXzoodAm5f0XAPzp9qbHKQ4qRe,excluded,manual-personal,set by merchant in web review
pBkR00yQX9C6xqQoQJvDIPyzoBdb0xH3JAVxo,excluded,manual-personal,set by merchant in web review
MyzXrr3djMfB86wbw9NPC3kOQL9r8XCXM01a3,excluded,manual-personal,set by merchant in web review
QvzLwwADrnfRoPmkm3KdivXn5qA1omUOE9nq8,excluded,manual-personal,set by merchant in web review
jE9JO65LxbiPOQLLgqnNiKoEMywaxDiejbzoV,included,manual-mindshare,set by merchant in web review
qMd7b3DZLJuQBr11Z8k9fwkELjBgQJCDEAj0B,included,manual-mindshare,set by merchant in web review
KjRZYBo6AdfQx8yy46NqfEoPX0j7QmIEmzVoA,included,manual-mindshare,set by merchant in web review
oYRbNm6owJiKzrvv0Ox3fdkz9ERVABt4bLzE1,included,manual-mindshare,set by merchant in web review
M4dmpyED06Hw0ekk194jF3kgY8E4qpfXpwNKo,included,manual-mindshare,set by merchant in web review
XEKLpJ5b6AiaxNZZ51d9UB8Ye43vnaHdaKVN5,included,manual-mindshare,set by merchant in web review
XEKLpJ5b6AiaxNZZ51d9UB8Ye43vnaHdaKVgA,excluded,manual-personal,set by merchant in web review
AQzbppO59xUmBk6z6XVrIJVYbPwrBoHM6woAj,excluded,manual-personal,set by merchant in web review
omKEBB3Ra7t6L4KqKOAJIdkoqm17ELI4BrxV9,excluded,manual-personal,set by merchant in web review
Y8zK99JkAmt3drZeZmaMI67qaeBpjZfJQzVX5,excluded,manual-personal,set by merchant in web review
QvzLwwADrnfRoPmkm3KdivXn5qA1omUOE9nx8,excluded,manual-personal,set by merchant in web review
j6P7vvD9aZUpRzPdPqejHKo8dp6QyBueRv4nb,excluded,manual-personal,set by merchant in web review
q3AQjjmd9VidxYQyQ80VfwkPy493jxhDJ1X0D,excluded,manual-personal,set by merchant in web review
XEKLpJ5b6AiaxNZZ51d9UB8Ye43vnaHdaKVL5,excluded,manual-personal,set by merchant in web review
48pAjjmKgqtvm0bXbKZaUwo1dzn3vVhRkDYo6,excluded,manual-personal,set by merchant in web review
48pAjjmKgqtvm0bXbKZaUwo1dzn3vVhRkDY46,excluded,manual-personal,set by merchant in web review
J0E8pqXwkmILQm335yR8UM6ODBjrK7Hm7xL4B,excluded,manual-personal,set by merchant in web review
ZEA1OZ5bD0i0NVoo6qzJcynepNqDdKTbkrZgY,excluded,manual-personal,set by merchant in web review
vM1dbv37BLuQjVpp0rdOf5waAK1rpmiV0vyr3,excluded,manual-personal,set by merchant in web review
00q9X4exzAI6eX44Yqa5ugXY9R7J06HAvD7Rb,excluded,manual-personal,set by merchant in web review
NawbpKo1jLC46NAAv5EqcpkPyxANartoL8X6w,included,manual-mindshare,set by merchant in web review
7oejNNJvEySroPKYKdmqhyDe0aqeonT8b8ypR,excluded,manual-personal,set by merchant in web review
omKEBB3Ra7t6L4KqKOAJIdkoqm17ELI4BrxE9,excluded,manual-personal,set by merchant in web review
RZ1VX0oMxqIyQNrrnj9bHaQPVxvgJqseqgkZ9,excluded,manual-personal,set by merchant in web review
nnEoNPwZdbUymQrrR6joHoQxq4zwKAfBpVxk0,excluded,manual-personal,set by merchant in web review
oYRbNm6owJiKzrvv0Ox3fdkz9ERVABt4bLz6e,excluded,manual-personal,set by merchant in web review
pMQgbBLO6JuQO7AAmJnkfPyX60951JF34mdw7,excluded,manual-personal,set by merchant in web review
zM3Db4AZkqu8e4bbLrDNUpRYDo3geOtvn5mb5,excluded,manual-personal,set by merchant in web review
mEM5N1dXZoi3XMyygANYtZNmrJR75MHBvZ01J,excluded,manual-personal,set by merchant in web review
ZZzkee8ArqtvYe050qxbUynAZOXmN0sbR8A5P,excluded,manual-personal,set by merchant in web review
1jBVXaE9ovf54OaajBkLf0YKEDjAMXHng6V9r,included,manual-mindshare,set by merchant in web review
D3gjpwoKPAFbj9LLnARMhZoNK4Lj1RHwRONmv,excluded,manual-personal,set by merchant in web review
AP5AXQVDLyf68Add9XOLuJVQLBvdRnFMnOpPo,excluded,manual-personal,set by merchant in web review
rMw9by1ZDJuQ7YrrK8k6fxp9EnjkNBHVwn9kX,included,manual-mindshare,set by merchant in web review
4aKdX8VzOrCbBp88LKVQhwoY9vgqy4CRnZLgp,included,manual-mindshare,set by merchant in web review
xMq6bjKVy1ux4r11k76BsNJ6EZAVPMHOKV6Px,excluded,manual-personal,set by merchant in web review
Ox6gpkoMrDtax9vvy4X0UPp6jEeLmgFxg9Amo,excluded,manual-personal,set by merchant in web review
M4dmpyED06Hw0ekk194jF3kgY8E4qpfXpwNzM,excluded,manual-personal,set by merchant in web review
D3gjpwoKPAFbj9LLnARMhZoNK4Lj1RHwRONEv,included,manual-mindshare,set by merchant in web review
qMd7b3DZLJuQBr11Z8k9fwkELjBgQJCDEAjLe,excluded,manual-personal,set by merchant in web review
1jBVXaE9ovf54OaajBkLf0YKEDjAMXHng6VJr,excluded,manual-personal,set by merchant in web review
PJL7pAoM41Ca1N00b9mdUPRkVprv0AFoAby8n,excluded,manual-personal,set by merchant in web review
bOzx11VJP0ujPQe3e4dKCEDvaORorPsJqPbZE,excluded,manual-personal,set by merchant in web review
jE9JO65LxbiPOQLLgqnNiKoEMywaxDiejbzr9,included,manual-mindshare,set by merchant in web review
rMw9by1ZDJuQ7YrrK8k6fxp9EnjkNBHVwn9pX,included,manual-mindshare,set by merchant in web review
bOzx11VJP0ujPQe3e4dKCEDvaORorPsJqPbzE,excluded,manual-personal,set by merchant in web review
ZEA1OZ5bD0i0NVoo6qzJcynepNqDdKTbkrZDD,excluded,manual-personal,set by merchant in web review
aExkOV5yKJiZy0MMYQ3JcwvreqvgZ6c4ADQ6A,included,manual-mindshare,set by merchant in web review
ZEA1OZ5bD0i0NVoo6qzJcyn9Zon0DgFvgZnmB,included,manual-mindshare,set by merchant in web review
1jBVXaE9ovf54OaajBkLf0Y9ZEr7nbIAxVkpD,excluded,manual-personal,set by merchant in web review
PJL7pAoM41Ca1N00b9mdUPRMqVKEXxHJqyze3,excluded,manual-personal,set by merchant in web review
qMd7b3DZLJuQBr11Z8k9fwk3zLnvPaCn6jKVq,excluded,manual-personal,set by merchant in web review
PJL7pAoM41Ca1N00b9mdUPRMqVKEXxHJqyzZV,excluded,manual-personal,set by merchant in web review
zM3Db4AZkqu8e4bbLrDNUpRKJmRkg1UKbmEoY,excluded,manual-personal,set by merchant in web review
